fundamental	<div style='font-size:0.95em;color:#555'>/ˌfʌndəˈmentl/</div><b>a.</b> 基础的，根本的，基本的<br><b>n.</b> (pl.) 基本原则，基本原理<br><span style='color:#888'>派生: fundamentally ad. 根本上</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>Few subjects today are as <u>fundamental</u> to public debate as the regulation of AI</i><br><span style='color:#666'>今天很少有话题像 AI 监管一样，对公众讨论来说如此根本</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 12 (2010-2024)</div>	Day3 必背 高频
regulation	<div style='font-size:0.95em;color:#555'>/ˌreɡjuˈleɪʃn/</div><b>n.</b> 规则，规章；管理；调节，校准<br><span style='color:#888'>派生: regulate v. / regulator n.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>the <u>regulation</u> of artificial intelligence remains stubbornly vague</i><br><span style='color:#666'>人工智能的监管仍顽固地含糊不清</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 12 (2010-2024)</div>	Day3 必背 高频
vague	<div style='font-size:0.95em;color:#555'>/veɪɡ/</div><b>a.</b> 不明确的，模糊的，含糊的；茫然的<br><span style='color:#888'>反: clear / specific / definite</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>the field remains stubbornly <u>vague</u></i><br><span style='color:#666'>这一领域仍顽固地含糊不清</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 4 (2010-2024)</div>	Day3 必背
advocate	<div style='font-size:0.95em;color:#555'><b>n.</b> /ˈædvəkət/<br><b>v.</b> /ˈædvəkeɪt/</div><b>n.</b> 倡导者，拥护者<br><b>v.</b> 提倡，主张<br><b style='color:#c00'>词性双发音：n. 尾音 /ət/ 弱化；v. 尾音 /eɪt/ 强化</b><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>Advocates</u> of strict rules argue ... A small association has begun to <u>advocate</u> for international standards</i><br><span style='color:#666'>严格规则的倡导者认为……一个小协会开始提倡国际标准</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 8 (2010-2024)</div>	Day3 必背 双发音
ambiguous	<div style='font-size:0.95em;color:#555'>/æmˈbɪɡjuəs/</div><b>a.</b> 引起歧义的，模棱两可的，含糊不清的<br><span style='color:#888'>近: vague · 反: unambiguous / clear</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>current frameworks are <u>ambiguous</u> at best</i><br><span style='color:#666'>当前的框架充其量是模棱两可的</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 5 (2010-2024)</div>	Day3 必背
arbitrary	<div style='font-size:0.95em;color:#555'>/ˈɑːbɪtrəri/</div><b>a.</b> 任意的，任性的；专断，武断的；无理由的<br><span style='color:#888'>反: rule-based / systematic</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>arbitrary</u> at worst — failing to articulate clear lines</i><br><span style='color:#666'>最糟时是武断的——无法清楚划出界限</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 1 (2010-2024)</div>	Day3 必背
articulate	<div style='font-size:0.95em;color:#555'><b>a.</b> /ɑːˈtɪkjələt/<br><b>v.</b> /ɑːˈtɪkjuleɪt/</div><b>a.</b> 善于表达的，口齿清晰的<br><b>v.</b> 清楚地阐述；明确表达<br><b style='color:#c00'>词性双发音（同 advocate 模式）</b><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>failing to <u>articulate</u> clear lines between research and harm</i><br><span style='color:#666'>未能清楚阐述研究与危害之间的界限</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 1 (2010-2024)</div>	Day3 必背 双发音
allege	<div style='font-size:0.95em;color:#555'>/əˈledʒ/</div><b>v.</b> 断言；声称（无证据）；指控<br><span style='color:#888'>派生: allegation n. 指控（声称）</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>Critics, in turn, <u>allege</u> that hasty laws would diminish innovation</i><br><span style='color:#666'>批评者反过来声称仓促的法律会削弱创新</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 1 (2010-2024)</div>	Day3 必背
diminish	<div style='font-size:0.95em;color:#555'>/dɪˈmɪnɪʃ/</div><b>v.</b> 缩小，减少；削弱；递减<br><span style='color:#888'>近: reduce / decrease · 反: increase / enlarge</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>hasty laws would <u>diminish</u> innovation and drive talent overseas</i><br><span style='color:#666'>仓促的法律会削弱创新，并把人才赶到海外</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 4 (2010-2024)</div>	Day3 必背
integrate	<div style='font-size:0.95em;color:#555'>/ˈɪntɪɡreɪt/</div><b>v.</b> (with/into) 使结合，整合，融合<br><span style='color:#888'>固定: <b>integrate X with Y</b> = 使 X 与 Y 结合 / <b>integrate into</b> = 融入</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>Lawmakers have tried to <u>integrate</u> technical knowledge with traditional legal principles</i><br><span style='color:#666'>立法者试图将技术知识与传统法律原则相结合</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 5 (2010-2024)</div>	Day3 必背 搭配
