decade	<div style='font-size:0.95em;color:#555'>/ˈdekeɪd/</div><b>n.</b> 十年<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>Over the past <u>decade</u>, liberal democracies have struggled with one central question.</i><br><span style='color:#666'>过去十年，自由民主国家一直在与一个核心问题作斗争。</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 16 (2010-2024)</div>	Day2 必背 高频
liberal	<div style='font-size:0.95em;color:#555'>/ˈlɪbərəl/</div><b>a.</b> 自由主义的；慷慨的；思想开放的；丰富的<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>liberal</u> democracies have struggled with one central question</i><br><span style='color:#666'>自由民主国家一直在与一个核心问题作斗争</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 17 (2010-2024)</div>	Day2 必背 高频
climate	<div style='font-size:0.95em;color:#555'>/ˈklaɪmət/</div><b>n.</b> 气候；<b>风气，社会思潮</b>（喻义）<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>scientific evidence about <u>climate</u> change</i><br><span style='color:#666'>关于气候变化的科学证据</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 16 (2010-2024)</div>	Day2 必背 高频
figure	<div style='font-size:0.95em;color:#555'>/ˈfɪɡə(r)/</div><b>n.</b> 数字；体形；轮廓；图形；人物<br><b>v.</b> 推测；计算<br><span style='color:#888'>固定: <b>figure out</b> = 弄清楚</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>Figures</u> released last month by the United Nations indicate ...</i><br><span style='color:#666'>联合国上月发布的数字表明……</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 15 (2010-2024)</div>	Day2 必背 多义 高频
indicate	<div style='font-size:0.95em;color:#555'>/ˈɪndɪkeɪt/</div><b>v.</b> 指出，指示；表明，暗示<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>Figures ... <u>indicate</u> that global emissions, far from declining, have risen</i><br><span style='color:#666'>数字……表明全球排放量非但没下降反而上升了</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 14 (2010-2024)</div>	Day2 必背 高频
significant	<div style='font-size:0.95em;color:#555'>/sɪɡˈnɪfɪkənt/</div><b>a.</b> 重大的；显著的；有意义的<br><span style='color:#888'>反义: insignificant / negligible</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>have risen by a <u>significant</u> margin</i><br><span style='color:#666'>已经以显著的幅度上升</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 15 (2010-2024)</div>	Day2 必背 高频
institution	<div style='font-size:0.95em;color:#555'>/ˌɪnstɪˈtjuːʃn/</div><b>n.</b> 机构；制度；惯例；学校；研究所<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>places governments and scientific <u>institutions</u> in open conflict</i><br><span style='color:#666'>使政府和科学机构陷入公开冲突</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 16 (2010-2024)</div>	Day2 必背 高频
conflict	<div style='font-size:0.95em;color:#555'><b>n.</b> /ˈkɒnflɪkt/<br><b>v.</b> /kənˈflɪkt/</div><b>n./v.</b> 冲突；战斗；抵触<br><span style='color:#888'>固定: <b>in conflict with</b> = 与…冲突</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>places governments and scientific institutions in open <u>conflict</u></i><br><span style='color:#666'>使政府和科学机构陷入公开冲突</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 12 (2010-2024)</div>	Day2 必背 高频 搭配
segment	<div style='font-size:0.95em;color:#555'><b>n.</b> /ˈseɡmənt/<br><b>v.</b> /seɡˈment/</div><b>n.</b> 部分；段；线段<br><b>v.</b> 分割，分段<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>The disagreement can be <u>segmented</u> into three layers</i><br><span style='color:#666'>这场分歧可以分成三个层次</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 18 (2010-2024)</div>	Day2 必背 高频
species	<div style='font-size:0.95em;color:#555'>/ˈspiːʃiːz/</div><b>n.</b> 物种；种类<br><b style='color:#c00'>注意：单复数同形！</b><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>which <u>species</u> are most at risk and to what degree</i><br><span style='color:#666'>哪些物种最危险，危险到什么程度</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 13 (2010-2024)</div>	Day2 必背 单复同形
